Unix;Date;Symbol;Open;High;Low;Close;Volume 1INCH;Volume BUSD;tradecount
1,70E+12;06.10.2023;1INCHBUSD;0.2513;0.2532;0.2511;0.2519;12819.4;3234.23524;45
1,70E+12;05.10.2023;1INCHBUSD;0.2556;0.257;0.2495;0.2501;131649.8;33272.96502;378
1,70E+12;04.10.2023;1INCHBUSD;0.256;0.2576;0.2483;0.256;194466.8;49498.46774;574
1,70E+12;03.10.2023;1INCHBUSD;0.269;0.2717;0.258;0.259;75406.5;19932.05344;231
1,70E+12;02.10.2023;1INCHBUSD;0.2756;0.2812;0.2624;0.2679;141003.3;38721.21481;406
1,70E+12;01.10.2023;1INCHBUSD;0.2699;0.279;0.2673;0.2763;138337.2;37758.03773;322
1,70E+12;30.09.2023;1INCHBUSD;0.2671;0.2709;0.2647;0.2699;88578.6;23722.97371;237
1,70E+12;29.09.2023;1INCHBUSD;0.269;0.2695;0.2603;0.2666;72541.4;19248.43749;249
1,70E+12;28.09.2023;1INCHBUSD;0.2622;0.2695;0.2603;0.2695;121443.2;32226.91284;336
1,70E+12;27.09.2023;1INCHBUSD;0.2672;0.2715;0.2555;0.2613;317156.6;82915.82492;524
1,70E+12;26.09.2023;1INCHBUSD;0.2638;0.2699;0.2615;0.2664;61541.7;16293.74016;240
1,70E+12;25.09.2023;1INCHBUSD;0.2548;0.2648;0.2518;0.2647;104652.6;27245.80659;305
1,70E+12;24.09.2023;1INCHBUSD;0.2632;0.2632;0.2539;0.2548;98225.6;25434.45815;218
1,70E+12;23.09.2023;1INCHBUSD;0.2627;0.2684;0.2574;0.2624;123176.4;32188.11856;268
1,70E+12;22.09.2023;1INCHBUSD;0.2582;0.2635;0.2543;0.2622;293731.4;76312.42979;480
1,70E+12;21.09.2023;1INCHBUSD;0.2518;0.281;0.2518;0.2586;1402393.2;375730.46879;3496
1,70E+12;20.09.2023;1INCHBUSD;0.2516;0.2529;0.2479;0.2514;90577.1;22675.27796;294
1,70E+12;19.09.2023;1INCHBUSD;0.2489;0.2555;0.2475;0.2517;88819.5;22373.68931;293
1,70E+12;18.09.2023;1INCHBUSD;0.2473;0.2563;0.2439;0.2492;88773.7;22358.14384;688
1,69E+12;17.09.2023;1INCHBUSD;0.2562;0.2562;0.244;0.2475;128032.1;32079.04412;657
1,69E+12;16.09.2023;1INCHBUSD;0.2555;0.26;0.252;0.2566;141813.2;36370.05701;631
1,69E+12;15.09.2023;1INCHBUSD;0.2447;0.256;0.243;0.2551;172760.0;42942.76589;420
1,69E+12;14.09.2023;1INCHBUSD;0.2344;0.2447;0.2324;0.2444;108910.4;25878.78325;249
1,69E+12;13.09.2023;1INCHBUSD;0.2289;0.2359;0.2273;0.2344;100986.9;23560.96632;253
1,69E+12;12.09.2023;1INCHBUSD;0.2241;0.2354;0.2238;0.228;118846.4;27349.60161;423
1,69E+12;11.09.2023;1INCHBUSD;0.2396;0.2396;0.2199;0.2239;174892.4;39943.75017;623
1,69E+12;10.09.2023;1INCHBUSD;0.2446;0.2446;0.2329;0.2394;130428.5;31322.51291;469
1,69E+12;09.09.2023;1INCHBUSD;0.245;0.2474;0.2445;0.2457;46241.5;11387.0904;246
1,69E+12;08.09.2023;1INCHBUSD;0.2483;0.2488;0.2419;0.2454;87432.7;21463.52959;401
1,69E+12;07.09.2023;1INCHBUSD;0.2465;0.2482;0.242;0.2478;199328.8;48874.32802;628
1,69E+12;06.09.2023;1INCHBUSD;0.2445;0.2498;0.2396;0.2468;216423.7;53023.51393;580
1,69E+12;05.09.2023;1INCHBUSD;0.2361;0.2446;0.2344;0.2444;209500.7;50476.77256;487
1,69E+12;04.09.2023;1INCHBUSD;0.2348;0.239;0.2329;0.236;120664.6;28499.32962;317
1,69E+12;03.09.2023;1INCHBUSD;0.2343;0.2368;0.2315;0.2349;139951.3;32849.00666;265
1,69E+12;02.09.2023;1INCHBUSD;0.2348;0.2359;0.231;0.234;109248.4;25553.33284;317
