Date;High;Open;Close
01/19/2023;1.528.06;1.563;1,545.03
01/18/2023;1.581.50;1.606;1,528.20
01/17/2023;1.579.41;1.601;1,581.50
01/16/2023;1.552.54;1.598;1,579.41
01/15/2023;1.538.25;1.563;1,552.35
01/14/2023;1.455.64;1.592;1,538.04
01/13/2023;1.427.20;1.459;1,456.07
01.12.2023;1.343.12;1.434;1,427.58
01.11.2023;1.339.67;1.345;1,342.74
01.10.2023;1.318.37;1.344;1,339.75
01.09.2023;1.269.71;1.343;1,317.74
01.08.2023;1.264.20;1.275;1,269.72
01.07.2023;1.266.31;1.271;1,264.20
01.06.2023;1.251.44;1.275;1,266.32
01.05.2023;1.252.16;1.259;1,251.32
01.04.2023;1.210.95;1.259;1,252.16
01.03.2023;1.219.58;1.219;1,210.65
01.02.2023;1.202.11;1.221;1,221.34
01.01.2023;1.199.52;1.203;1,202.11
12/31/2022;1.197.51;1.206;1,199.52
12/30/2022;1.195.20;1.203;1,197.20
12/29/2022;1.186.77;1.205;1,195.20
12/28/2022;1.210.29;1.213;1,186.77
12/27/2022;1.216.70;1.232;1,210.24
12/26/2022;1.218.33;1.223;1,216.70
12/25/2022;1.218.83;1.222;1,218.33
12/24/2022;1.221.85;1.225;1,218.69
12/23/2022;1.215.00;1.228;1,221.85
12/22/2022;1.211.11;1.232;1,215.00
12/21/2022;1.216.14;1.232;1,211.12
12/20/2022;1.176.05;1.227;1,216.55
12/19/2022;1.182.88;1.194;1,176.05
12/18/2022;1.178.99;1.196;1,182.99
12/17/2022;1.194.61;1.196;1,179.27
12/16/2022;1.264.60;1.279;1,194.61
12/15/2022;1.310.85;1.311;1,264.65
12/14/2022;1.320.16;1.348;1,310.85
12/13/2022;1.275.08;1.345;1,320.19
12.12.2022;1.263.88;1.278;1,275.15
12.11.2022;1.268.94;1.282;1,264.92
12.10.2022;1.259.85;1.282;1,268.94
12.09.2022;1.278.32;1.291;1,259.91
12.08.2022;1.231.63;1.291;1,278.18
12.07.2022;1.256.20;1.275;1,231.63
12.06.2022;1.259.49;1.269;1,256.66
12.05.2022;1.277.23;1.304;1,259.46
12.04.2022;1.260.89;1.282;1,277.23
12.03.2022;1.291.21;1.303;1,260.76
12.02.2022;1.276.85;1.296;1,290.99
12.01.2022;1.296.99;1.305;1,276.85
11/30/2022;1.219.38;1.299;1,296.99
11/29/2022;1.172.32;1.225;1,219.38
11/28/2022;1.215.05;1.216;1,172.11
11/27/2022;1.209.93;1.222;1,216.21
11/26/2022;1.199.07;1.229;1,209.93
11/25/2022;1.195.20;1.204;1,199.67
11/24/2022;1.168.79;1.215;1,195.20
11/23/2022;1.129.80;1.187;1,168.79
11/22/2022;1.093.18;1.139;1,130.19
11/21/2022;1.140.83;1.152;1,092.64
11/20/2022;1.210.00;1.152;1,139.38
11/19/2022;1.208.74;1.212;1,210.00
11/18/2022;1.205.70;1.228;1,208.80
11/17/2022;1.206.04;1.226;1,205.70
11/16/2022;1.244.55;1.266;1,206.04
11/15/2022;1.226.14;1.266;1,244.39
11/14/2022;1.215.00;1.287;1,226.43
11/13/2022;1.255.80;1.271;1,216.60
11.12.2022;1.265.94;1.291;1,255.72
11.11.2022;1.320.71;1.325;1,265.94
11.10.2022;1.105.06;1.346;1,320.71
11.09.2022;1.331.12;1.343;1,105.81
11.08.2022;1.575.00;1.577;1,335.07
11.07.2022;1.604.05;1.608;1,575.70
11.06.2022;1.631.71;1.639;1,604.04
11.05.2022;1.646.01;1.663;1,631.71
11.04.2022;1.541.15;1.674;1,647.04
11.03.2022;1.511.44;1.559;1,541.15
11.02.2022;1.575.51;1.619;1,513.45
11.01.2022;1.566.34;1.609;1,575.52
10/31/2022;1.595.49;1.634;1,566.34
10/30/2022;1.627.40;1.639;1,595.49
10/29/2022;1.560.09;1.661;1,627.40
10/28/2022;1.527.86;1.571;1,561.00
10/27/2022;1.554.21;1.583;1,527.81
10/26/2022;1.473.77;1.591;1,554.46
10/25/2022;1.351.90;1.523;1,473.00
10/24/2022;1.330.22;1.369;1,351.91
10/23/2022;1.316.05;1.335;1,330.22
10/22/2022;1.302.46;1.319;1,316.05
10/21/2022;1.281.77;1.306;1,302.46
10/20/2022;1.293.98;1.319;1,281.77
10/19/2022;1.314.53;1.314;1,293.99
10/18/2022;1.330.45;1.314;1,314.44
10/17/2022;1.311.01;1.337;1,330.45
10/16/2022;1.280.75;1.314;1,311.01
10/15/2022;1.302.20;1.302;1,280.85
10/14/2022;1.293.78;1.342;1,302.20
10/13/2022;1.298.92;1.302;1,294.30
10.12.2022;1.282.48;1.305;1,298.57
10.11.2022;1.307.39;1.309;1,282.78
10.10.2022;1.320.90;1.337;1,307.39
10.09.2022;1.325.20;1.328;1,320.90
10.08.2022;1.332.01;1.337;1,325.20
10.07.2022;1.364.00;1.364;1,332.01
10.06.2022;1.345.16;1.383;1,363.88
10.05.2022;1.361.75;1.367;1,346.06
10.04.2022;1.324.07;1.367;1,362.09
10.03.2022;1.303.74;1.329;1,323.92
10.02.2022;1.309.66;1.317;1,303.74
10.01.2022;1.331.24;1.333;1,309.66
09/30/2022;1.338.25;1.372;1,331.30
09/29/2022;1.351.19;1.354;1,338.25
09/28/2022;1.324.73;1.353;1,351.26
09/27/2022;1.325.06;1.399;1,324.42
09/26/2022;1.292.44;1.399;1,325.05
09/25/2022;1.342.22;1.342;1,293.03
09/24/2022;1.301.51;1.348;1,342.22
09/23/2022;1.324.00;1.356;1,301.98
09/22/2022;1.313.67;1.335;1,324.18
09/21/2022;1.343.06;1.335;1,313.67
09/20/2022;1.357.73;1.391;1,342.61
09/19/2022;1.370.86;1.371;1,357.73
09/18/2022;1.462.59;1.473;1,370.86
09/17/2022;1.436.00;1.474;1,462.59
09/16/2022;1.504.53;1.504;1,436.00
09/15/2022;1.603.38;1.653;1,504.22
09/14/2022;1.607.87;1.622;1,603.66
09/13/2022;1.724.26;1.757;1,607.50
09.12.2022;1.759.33;1.622;1,724.26
09.11.2022;1.734.29;1.788;1,759.33
09.10.2022;1.721.01;1.744;1,734.07
09.09.2022;1.644.80;1.742;1,720.62
09.08.2022;1.638.79;1.661;1,644.75
09.07.2022;1.580.57;1.653;1,641.59
09.06.2022;1.598.42;1.685;1,579.95
09.05.2022;1.571.36;1.609;1,598.42
09.04.2022;1.552.16;1.582;1,571.36
09.03.2022;1.571.78;1.585;1,552.16
09.02.2022;1.581.12;1.648;1,568.51
09.01.2022;1.572.96;1.584;1,580.77
08/31/2022;1.558.90;1.619;1,572.96
08/30/2022;1.546.21;1.604;1,557.62
08/29/2022;1.483.47;1.551;1,546.83
08/28/2022;1.481.81;1.551;1,483.47
08/27/2022;1.557.41;1.561;1,480.58
08/26/2022;1.708.31;1.561;1,557.41
08/25/2022;1.683.27;1.721;1,707.80
08/24/2022;1.649.28;1.692;1,683.37
08/23/2022;1.578.05;1.667;1,649.28
08/22/2022;1.618.50;1.644;1,578.05
08/21/2022;1.531.51;1.670;1,618.24
08/20/2022;1.686.65;1.711;1,531.94
08/19/2022;1.876.87;1.878;1,687.80
08/18/2022;1.851.26;1.881;1,876.87
08/17/2022;1.885.13;1.956;1,850.20
08/16/2022;1.903.09;1.917;1,885.13
08/15/2022;1.942.56;2.011;1,904.74
08/14/2022;1.991.91;2.029;1,942.57
08/13/2022;1.933.24;2.001;1,991.91
08.12.2022;1.902.81;1.936;1,933.74
08.11.2022;1.842.85;1.934;1,902.53
08.10.2022;1.698.00;1.852;1,842.60
08.09.2022;1.797.69;1.797;1,698.01
08.08.2022;1.722.52;1.816;1,799.85
08.07.2022;1.714.99;1.723;1,722.52
08.06.2022;1.679.93;1.748;1,715.00
08.05.2022;1.590.28;1.724;1,679.93
08.04.2022;1.641.89;1.663;1,590.67
08.03.2022;1.651.18;1.683;1,641.88
08.02.2022;1.626.25;1.676;1,650.30
08.01.2022;1.721.28;1.725;1,622.95
07/31/2022;1.702.82;1.751;1,721.29
07/30/2022;1.733.17;1.765;1,702.82
07/29/2022;1.755.98;1.771;1,733.17
07/28/2022;1.601.32;1.782;1,756.28
07/27/2022;1.380.98;1.613;1,601.64
07/26/2022;1.521.69;1.524;1,379.02
07/25/2022;1.609.32;1.661;1,520.86
07/24/2022;1.525.37;1.628;1,611.43
07/23/2022;1.526.69;1.596;1,523.82
07/22/2022;1.588.60;1.645;1,525.01
07/21/2022;1.522.88;1.603;1,586.73
07/20/2022;1.559.32;1.618;1,524.00
07/19/2022;1.472.23;1.625;1,559.60
07/18/2022;1.343.04;1.525;1,473.04
07/17/2022;1.345.60;1.383;1,343.41
07/16/2022;1.258.05;1.417;1,345.60
07/15/2022;1.193.09;1.285;1,256.28
07/14/2022;1.075.93;1.208;1,191.48
07/13/2022;1.046.00;1.208;1,075.93
07.12.2022;1.136.77;1.137;1,046.00
07.11.2022;1.176.87;1.184;1,136.62
07.10.2022;1.218.90;1.225;1,177.50
07.09.2022;1.242.36;1.225;1,219.84
07.08.2022;1.237.74;1.225;1,242.36
07.07.2022;1.160.63;1.252;1,237.75
07.06.2022;1.153.78;1.167;1,160.63
07.05.2022;1.120.44;1.168;1,154.34
07.04.2022;1.083.85;1.133;1,120.44
07.03.2022;1.063.12;1.085;1,083.27
07.02.2022;1.068.13;1.076;1,062.79
07.01.2022;1.011.07;1.111;1,067.88
06/30/2022;1.107.93;1.117;1,011.67
06/29/2022;1.160.48;1.166;1,107.93
06/28/2022;1.202.24;1.231;1,160.55
06/27/2022;1.246.59;1.248;1,202.24
06/26/2022;1.207.84;1.276;1,247.70
06/25/2022;1.219.39;1.243;1,207.44
06/24/2022;1.134.46;1.242;1,215.09
06/23/2022;1.048.35;1.141;1,134.20
06/22/2022;1.121.28;1.139;1,051.16
06/21/2022;1.119.75;1.189;1,121.57
06/20/2022;1.138.83;1.167;1,119.96
06/19/2022;900.50;1.167;1,138.58
06/18/2022;1.094.18;1.097;902.25
06/17/2022;1.099.35;1.116;1,095.00
06/16/2022;1.179.82;1.253;1,096.86
06/15/2022;1.187.00;1.225;1,177.44
06/14/2022;1.239.69;1.256;1,187.30
06/13/2022;1.473.58;1.484;1,243.08
06.12.2022;1.521.77;1.484;1,477.97
06.11.2022;1.677.73;1.684;1,521.84
06.10.2022;1.792.44;1.691;1,677.39
06.09.2022;1.796.12;1.742;1,792.44
06.08.2022;1.844.73;1.845;1,796.12
06.07.2022;1.860.86;1.873;1,844.73
06.06.2022;1.809.65;1.917;1,860.47
06.05.2022;1.775.05;1.827;1,809.74
06.04.2022;1.759.00;1.792;1,774.69
06.03.2022;1.822.45;1.852;1,758.06
06.02.2022;1.791.36;1.842;1,824.05
06.01.2022;1.948.13;1.842;1,794.22
05/31/2022;1.958.35;2.009;1,948.13
05/30/2022;1.793.68;1.954;1,952.14
05/29/2022;1.790.25;1.823;1,793.03
05/28/2022;1.744.18;1.809;1,790.25
05/27/2022;1.825.85;1.844;1,744.16
05/26/2022;1.959.19;1.968;1,826.05
05/25/2022;1.970.19;1.968;1,959.09
05/24/2022;1.997.28;2.002;1,967.21
05/23/2022;2.005.97;2.085;1,996.35
05/22/2022;1.972.42;2.033;2,004.77
05/21/2022;1.958.20;1.987;1,972.76
05/20/2022;2.012.95;1.987;1,957.64
05/19/2022;1.963.40;2.036;2,011.38
05/18/2022;2.051.83;2.106;1,962.74
05/17/2022;2.031.06;2.119;2,051.90
05/16/2022;2.130.42;2.155;2,030.99
05/15/2022;1.995.60;2.128;2,128.88
05/14/2022;2.042.76;2.079;1,997.47
05/13/2022;1.925.00;2.141;2,043.75
05.12.2022;2.032.68;2.181;1,925.01
05.11.2022;2.324.89;2.181;2,031.16
05.10.2022;2.290.90;2.455;2,321.92
05.09.2022;2.539.54;2.555;2,286.10
05.08.2022;2.673.55;2.675;2,539.33
05.07.2022;2.704.55;2.705;2,673.55
05.06.2022;2.754.92;2.757;2,704.81
05.05.2022;2.943.42;2.952;2,754.37
05.04.2022;2.784.72;2.967;2,943.42
05.03.2022;2.826.56;2.967;2,774.37
05.02.2022;2.816.67;2.872;2,827.69
05.01.2022;2.788.47;2.825;2,812.70
04/30/2022;2.806.12;2.825;2,788.47
04/29/2022;2.949.01;2.953;2,806.13
04/28/2022;2.865.24;2.979;2,948.97
04/27/2022;2.830.01;2.919;2,864.84
04/26/2022;2.997.37;3.033;2,828.63
04/25/2022;2.941.56;3.024;2,996.74
04/24/2022;2.963.57;2.969;2,941.25
04/23/2022;2.971.28;2.977;2,961.98
04/22/2022;3.001.41;2.977;2,971.28
04/21/2022;3.085.00;3.178;3,001.41
04/20/2022;3.094.73;3.165;3,085.00
04/19/2022;3.005.41;3.129;3,094.31
04/18/2022;3.045.85;3.075;3,005.18
04/17/2022;3.034.06;3.084;3,045.70
04/16/2022;3.030.16;3.057;3,034.06
04/15/2022;3.012.27;3.057;3,030.16
04/14/2022;3.105.73;3.143;3,011.47
04/13/2022;2.987.61;3.114;3,105.73
04.12.2022;2.991.72;3.083;2,987.70
04.11.2022;3.290.20;3.292;2,992.28
04.10.2022;3.226.05;3.307;3,290.16
04.09.2022;3.248.99;3.256;3,226.04
04.08.2022;3.239.72;3.313;3,247.98
04.07.2022;3.234.92;3.269;3,238.51
04.06.2022;3.437.98;3.369;3,235.47
04.05.2022;3.510.17;3.469;3,436.17
04.04.2022;3.495.01;3.388;3,510.17
04.03.2022;3.471.20;3.523;3,495.00
04.02.2022;3.441.70;3.529;3,471.20
04.01.2022;3.300.05;3.529;3,443.19
03/31/2022;3.414.52;3.444;3,299.98
03/30/2022;3.397.58;3.445;3,413.71
03/29/2022;3.417.28;3.482;3,395.20
03/28/2022;3.238.39;3.382;3,417.28
03/27/2022;3.144.00;3.247;3,238.88
03/26/2022;3.128.32;3.152;3,144.00
03/25/2022;3.104.86;3.193;3,128.32
03/24/2022;2.982.22;3.129;3,104.85
03/23/2022;3.001.61;3.047;2,981.96
03/22/2022;2.910.70;3.052;3,001.61
03/21/2022;2.874.36;2.961;2,911.51
03/20/2022;2.952.38;2.964;2,877.47
