Date;Open;High;Low;Close
12.01.2023;33.9500;34.0000;33.3000;33.3500
11/30/2023;32.5300;34.5200;32.3600;33.9500
11/29/2023;32.4900;33.2500;32.1300;32.5300
11/28/2023;31.4000;33.1200;31.4000;32.4900
11/27/2023;33.7500;34.2700;30.2100;31.4000
11/26/2023;34.2700;34.6300;32.7100;33.7500
11/25/2023;34.4500;35.0700;33.7100;34.2700
11/24/2023;33.2100;34.4500;32.4200;34.4500
11/23/2023;33.6900;35.9800;32.5900;33.2100
11/22/2023;32.3900;34.2900;29.6400;33.6900
11/21/2023;33.4800;33.9900;31.0000;32.3900
11/20/2023;36.0200;36.8600;33.4800;33.4800
11/19/2023;35.6600;37.7700;34.2600;36.0200
11/18/2023;37.2000;41.6800;34.4300;35.6600
11/17/2023;40.9400;43.2800;33.2100;37.2000
11/16/2023;31.9600;44.5000;31.3200;40.9400
11/15/2023;30.2200;31.9800;30.1500;31.9600
11/14/2023;32.1200;32.9800;29.2400;30.2200
11/13/2023;35.1500;35.7700;30.9500;32.1200
11.12.2023;30.0900;47.6700;29.5300;35.1500
11.11.2023;29.7600;30.5500;29.1400;30.0900
11.10.2023;29.0300;30.7500;29.0000;29.7600
11.09.2023;28.6900;30.5700;28.1500;29.0300
11.08.2023;28.6500;34.4800;28.6500;28.6900
11.07.2023;27.4700;29.1400;27.2900;28.6500
11.06.2023;27.0200;27.4700;26.7200;27.4700
11.05.2023;26.6000;27.3500;26.6000;27.0200
11.04.2023;26.5900;27.0300;26.2200;26.6000
11.03.2023;26.7700;30.6000;25.8800;26.5900
11.02.2023;27.0800;29.9800;26.3600;26.7700
11.01.2023;25.9800;28.1700;25.9800;27.0800
10/31/2023;26.0700;26.2200;25.7500;25.9800
10/30/2023;25.8700;26.2900;25.8700;26.0700
10/29/2023;25.1900;27.5500;24.6100;25.8700
10/28/2023;25.1000;25.7800;24.9000;25.1900
10/27/2023;24.9800;25.1800;24.9100;25.1000
10/26/2023;25.3800;25.5800;24.9800;24.9800
10/25/2023;24.4700;25.3800;24.3000;25.3800
10/24/2023;24.3700;25.3100;24.2000;24.5600
10/23/2023;24.0800;25.1400;23.7900;24.3700
10/22/2023;23.9500;26.8200;23.7600;24.0800
